iter	Logloss
0	0.6705592557
1	0.6517069981
2	0.6359335222
3	0.6229915836
4	0.607684295
5	0.5946164476
6	0.583041049
7	0.5723719748
8	0.5639445921
9	0.5550976619
10	0.5475268925
11	0.5404191378
12	0.5336305393
13	0.5288877631
14	0.524794394
15	0.5196632925
16	0.515974006
17	0.5115854838
18	0.507964734
19	0.5050642419
20	0.502311145
21	0.4997068415
22	0.4971529828
23	0.4947278233
24	0.4928141993
25	0.4909945921
26	0.489126597
27	0.4876788621
28	0.486151264
29	0.4842557977
30	0.4826986606
31	0.4811987014
32	0.4798036345
33	0.4781730389
34	0.4768967397
35	0.4752979339
36	0.4741233792
37	0.4729355389
38	0.4719058019
39	0.4708275706
40	0.469621867
41	0.4685094744
42	0.4676883263
43	0.4666900283
44	0.4657852661
45	0.4650248523
46	0.4641133375
47	0.4635734361
48	0.4629798919
49	0.4621066625
50	0.4613826608
51	0.4606882494
52	0.4601983714
53	0.4590136686
54	0.4585560767
55	0.4580138866
56	0.457353878
57	0.4569372143
58	0.4567434106
59	0.4559828419
60	0.4552080158
61	0.4547276789
62	0.454097543
63	0.4535022118
64	0.4531178055
65	0.4525612252
66	0.4521055046
67	0.4516738657
68	0.4513596576
69	0.4510598148
70	0.450656948
71	0.4502736385
72	0.4499942888
73	0.4496155419
74	0.4491617176
75	0.4485607014
76	0.4481297833
77	0.4470431461
78	0.4466837232
79	0.4460729865
80	0.445516951
81	0.4448811982
82	0.4444074333
83	0.4439577443
84	0.4434447203
85	0.4427117908
86	0.4423021891
87	0.442143271
88	0.4411517786
89	0.4410418455
90	0.4405688625
91	0.4402885644
92	0.4400302779
93	0.4396572747
94	0.4392300657
95	0.4387883164
96	0.4384419343
97	0.4381387887
98	0.4378894913
99	0.4374403859
100	0.437021717
101	0.4365398498
102	0.4359426353
103	0.4351494541
104	0.4349143875
105	0.4345887666
106	0.4342451446
107	0.4338582612
108	0.4333353181
109	0.4332016755
110	0.4329990912
111	0.4328139082
112	0.4324465475
113	0.4322208809
114	0.4319917962
115	0.4318335938
116	0.4312366349
117	0.4309256698
118	0.4308614615
119	0.4306044239
120	0.4303778688
121	0.4299592529
122	0.4295861905
123	0.4293797024
124	0.4288199153
125	0.4283204543
126	0.4279154779
127	0.4275408686
128	0.4272821546
129	0.4266445366
130	0.4260062401
131	0.4255775875
132	0.4253063783
133	0.4250553361
134	0.4244911955
135	0.4243391401
136	0.4239448183
137	0.4233249405
138	0.4228218349
139	0.4223989176
140	0.4220609901
141	0.4217611834
142	0.4215229061
143	0.4207546473
144	0.4204192196
145	0.4200214569
146	0.419773323
147	0.4194986435
148	0.4192728439
149	0.4189036355
150	0.4186729267
151	0.4183071085
152	0.4177611125
153	0.4172069752
154	0.4168396714
155	0.4162890665
156	0.4159126862
157	0.415581662
158	0.4153063225
159	0.414648399
160	0.4142199715
161	0.4137036813
162	0.4132908201
163	0.4130910901
164	0.4126990581
165	0.4123654069
166	0.4118113588
167	0.4114183329
168	0.4111838451
169	0.4108351096
170	0.4105420139
171	0.4101031142
172	0.4098319566
173	0.4095199924
174	0.408870445
175	0.4084093775
176	0.408064204
177	0.4078223948
178	0.4074559234
179	0.4071425972
180	0.4069105189
181	0.4064419333
182	0.4061128128
183	0.4056589959
184	0.4053723661
185	0.405001815
186	0.4046339511
187	0.4040364551
188	0.4035275972
189	0.4031692265
190	0.402794987
191	0.4024769922
192	0.4022138494
193	0.4018978138
194	0.4015671833
195	0.4011881196
196	0.4008913062
197	0.4002646333
198	0.3998473595
199	0.399633858
200	0.3993133321
201	0.3991466697
202	0.3987641373
203	0.3985010637
204	0.3981875203
205	0.3976836581
206	0.3973847577
207	0.3971428631
208	0.3968396959
209	0.3965984389
210	0.3961585258
211	0.3959296457
212	0.3957167128
213	0.3950931405
214	0.3946924209
215	0.3941895689
216	0.3939538341
217	0.3937261128
218	0.3932467494
219	0.3929078155
220	0.3924519506
221	0.3923130568
222	0.3920793413
223	0.3917103537
224	0.3914477691
225	0.3908961245
226	0.3907365118
227	0.3901151108
228	0.3898645624
229	0.389387164
230	0.3888151702
231	0.3884304782
232	0.3880414471
233	0.3876108483
234	0.3874077187
235	0.3870609015
236	0.3865190862
237	0.3860473845
238	0.3858633687
239	0.3855280731
240	0.385212285
241	0.3848162824
242	0.3843933787
243	0.3840970786
244	0.3835807664
245	0.3831034125
246	0.3829279447
247	0.3825168667
248	0.3819246423
249	0.3817848706
250	0.3814325139
251	0.3810590063
252	0.3805407368
253	0.3801430635
254	0.3797208966
255	0.3793646526
256	0.3791014556
257	0.3787554024
258	0.3783678521
259	0.3779593833
260	0.3776211409
261	0.3774078037
262	0.3769868214
263	0.3766118797
264	0.376340062
265	0.3759479087
266	0.3754603906
267	0.3751933255
268	0.3749785585
269	0.3746244868
270	0.3743931571
271	0.3740705155
272	0.373828666
273	0.3735199976
274	0.3732032206
275	0.373017539
276	0.3727760629
277	0.3724399868
278	0.3722047278
279	0.371900784
280	0.3715660473
281	0.3714289113
282	0.3711423722
283	0.3708561881
284	0.3705277889
285	0.3701375324
286	0.3698963151
287	0.36954328
288	0.3691773197
289	0.3689435258
290	0.3687654845
291	0.3685781152
292	0.3682119005
293	0.3679342538
294	0.367470748
295	0.3671645996
296	0.3669544723
297	0.3666727063
298	0.3664685529
299	0.3661449908
