model,accuracy,precision,recall,f1,roc_auc
XGBoost,0.7501774308019872,0.5208333333333334,0.7352941176470589,0.6097560975609756,0.8282195355085381
CatBoost,0.7558552164655784,0.5267857142857143,0.7887700534759359,0.6316916488222698,0.842128445581131
Logistic Regression,0.7395315826827538,0.5060449050086355,0.7834224598930482,0.614900314795383,0.8411454700457258
